int_id,date,Number_of_Hard_Brakes,Total_CO2,Number_of_Stops,Number_of_Vehicles,Average_Number_of_Hard_Brakes,Average_CO2,Average_Number_of_Stops,Total_length,Latitude,Longitude
56,2021-01-11,4,353358.5002,7,1863,0.002875632,254.0322263,0.005032355,0.746644506,29.33548176,-98.62280511
57,2021-01-11,8,340963.3423,16,1807,0.006127908,261.173989,0.012255816,0.722469662,29.34220003,-98.62528047
59,2021-01-11,2,59578.9779,2,816,0.003512579,104.6379279,0.003512579,0.697772354,29.32030184,-98.51380213
60,2021-01-11,27,1312301.555,35,4353,0.006481249,315.013066,0.008401619,0.957009852,29.45958077,-98.4810979
61,2021-01-11,31,908162.6121,43,3408,0.010588696,310.2018752,0.014687547,0.859052317,29.59573513,-98.57191289
63,2021-01-11,13,869103.1034,3,3681,0.003660907,244.7465967,0.000844825,0.964692322,29.49159527,-98.48344934
65,2021-01-11,1,158416.3859,2,1505,0.001321328,209.3200116,0.002642656,0.50286667,29.41998632,-98.38936987
66,2021-01-11,63,555321.28,18,4917,0.016749196,147.6378575,0.004785485,0.76497347,29.52039831,-98.49359714
67,2021-01-11,12,732721.9457,63,3494,0.004415756,269.6267627,0.023182718,0.777773785,29.40628292,-98.57136184
68,2021-01-11,22,955616.9445,53,4071,0.005093927,221.2655898,0.012271733,1.060886346,29.60931571,-98.48798453
69,2021-01-11,4,707250.9832,43,5628,0.000821203,145.1990767,0.008827927,0.86547717,29.51812557,-98.4789215
70,2021-01-11,27,816254.8063,62,5799,0.005451903,164.8200666,0.012519184,0.854009216,29.52024287,-98.48555167
71,2021-01-11,2,851159.9575,54,5977,0.000352556,150.0407696,0.009519012,0.949114581,29.52203725,-98.4808573
72,2021-01-11,16,1014367.917,120,4286,0.004064347,257.6714648,0.030482604,0.918495455,29.5303896,-98.48471741
73,2021-01-11,63,744583.0932,121,5132,0.01353827,160.0058255,0.026002074,0.906756606,29.52054535,-98.49252737
74,2021-01-11,70,1111601.155,179,6884,0.011158629,177.1992081,0.028534208,0.911268485,29.52048743,-98.48493875
75,2021-01-11,70,1074697.309,138,6681,0.01149768,176.5217963,0.022666855,0.911268485,29.52047803,-98.48416391
76,2021-01-11,5,1199473.625,38,5561,0.0009485,227.5402046,0.007208602,0.947937411,29.51839204,-98.47073009
