deviceId,journeyId,date,time,lat,lon,postal_code,speed,heading,odometer,event_type,event,epoch_time
3033112d-47f0-4890-89d6-bf0ea740ad10,T06C4E8E41635764171007_1_2,11/1/2021,5:55:17,29.60112,-98.406479,78247,41.38,86,69002.63,ACCELERATION_CHANGE,HARD_BRAKE,1635746117
82d3f4ff-e8c3-425c-b441-50fa4642eae6,T06C488B31635762693885_1_0,11/1/2021,5:29:35,29.533432,-98.301399,78109,66.22,213,118529,ACCELERATION_CHANGE,HARD_BRAKE,1635744575
907289cb-4c96-4991-a41f-a218f958d2b8,T06C4057D1635763864966_1_0,11/1/2021,5:24:05,29.483994,-98.370445,78218,16.72,271,125367.59,ACCELERATION_CHANGE,HARD_BRAKE,1635744245
e6e75188-7aec-4f9e-a024-a1d65d54f231,T06C378011635762916647_1_0,11/1/2021,5:24:42,29.554461,-98.48616,78216,99.59,200,140529.8,ACCELERATION_CHANGE,HARD_BRAKE,1635744282
08c6b386-be10-4f46-b624-08d4b5ff1525,T06C264561635763802699_1_5,11/1/2021,5:45:58,29.509081,-98.351341,78239,19.2,103,94848.52,ACCELERATION_CHANGE,HARD_BRAKE,1635745558
ff4ed7b5-b34e-411b-84f0-e1bf2996e7bb,T06C264561635763802699_1_5,11/1/2021,5:48:02,29.511162,-98.359406,78239,30.13,277,94849.64,ACCELERATION_CHANGE,HARD_BRAKE,1635745682
705d82ae-87fa-421e-adab-c0012d550aa8,T06C264561635762526198_1_5,11/1/2021,5:26:30,29.492054,-98.436852,78209,13.31,331,94835.56,ACCELERATION_CHANGE,HARD_BRAKE,1635744390
8713aecf-6d8d-4dfe-adcc-9cbb67bb33fc,T06C264561635762526198_1_5,11/1/2021,5:27:30,29.494019,-98.437386,78209,24.11,269,94836.16,ACCELERATION_CHANGE,HARD_BRAKE,1635744450
97c2e719-3001-4d5d-b9fd-076ba92d6239,T06C264561635762526198_1_5,11/1/2021,5:32:25,29.50898,-98.409546,78218,31.67,50,94839.95,ACCELERATION_CHANGE,HARD_BRAKE,1635744745
67c82aa4-ae0e-4662-b031-476577954f68,T06C264561635762526198_1_5,11/1/2021,5:38:52,29.503696,-98.367828,78239,37.84,185,94844.73,ACCELERATION_CHANGE,HARD_BRAKE,1635745132
b433a930-9c2b-4c1a-bf60-1caebdb0ea74,T06C264561635759706075_1_3,11/1/2021,5:08:44,29.496325,-98.400124,78218,40.36,10,94830.64,ACCELERATION_CHANGE,HARD_BRAKE,1635743324
35526de0-de8c-4743-bb1e-b996f938d216,T06C20DEC1635775252936_1_2,11/1/2021,5:08:21,29.402983,-98.777741,78245,41.64,154,266465.44,ACCELERATION_CHANGE,HARD_BRAKE,1635743301
29c421c0-7c15-41f4-acd0-d6ec7e69538c,T06BF50F51635764476404_1_0,11/1/2021,5:53:59,29.558392,-98.471527,78216,12.03,76,114906.5,ACCELERATION_CHANGE,HARD_BRAKE,1635746039
8107d96c-ed29-41de-a63e-45254968313a,T06BA334E1635762877723_1_0,11/1/2021,5:23:06,29.569023,-98.385346,78217,34.75,152,113539.86,ACCELERATION_CHANGE,HARD_BRAKE,1635744186
82028d3e-ea01-478d-aec6-b88622ad2b4e,T06BA334E1635762877723_1_0,11/1/2021,5:33:01,29.522604,-98.344986,78239,13.33,152,113547.03,ACCELERATION_CHANGE,HARD_BRAKE,1635744781
c47f69ff-4994-4aa5-9605-c037614f41a8,T06B322DC1635764199030_1_0,11/1/2021,5:44:43,29.445076,-98.659325,78251,17.3,155,77109.84,ACCELERATION_CHANGE,HARD_BRAKE,1635745483
1389720f-0da2-4cce-a0bb-92f4eda5063e,T06B322DC1635764199030_1_0,11/1/2021,5:55:22,29.391439,-98.568474,78226,30.88,185,77122.58,ACCELERATION_CHANGE,HARD_BRAKE,1635746122
6c42b77c-af34-432c-b0bb-36b4863a758e,T06B27B6A1635764349548_1_0,11/1/2021,5:46:08,29.640751,-98.379013,78266,42.06,105,102614.45,ACCELERATION_CHANGE,HARD_BRAKE,1635745568
366dde6f-9ff6-4102-ae83-a1a47f621df0,T06B1261C1635762143942_1_2,11/1/2021,5:07:42,29.441448,-98.534569,78207,16.84,7,86195.06,ACCELERATION_CHANGE,HARD_BRAKE,1635743262
8eac25c2-b95d-444e-b1b8-33280af2e455,T06B1261C1635762143942_1_2,11/1/2021,5:08:06,29.443419,-98.534348,78207,21.58,5,86195.28,ACCELERATION_CHANGE,HARD_BRAKE,1635743286
2e9c7aab-7ca5-407d-a426-88aff28c1bf6,T06B1261C1635762143942_1_2,11/1/2021,5:10:42,29.444132,-98.515816,78207,35.03,96,86197.38,ACCELERATION_CHANGE,HARD_BRAKE,1635743442
6fa83a9f-2a15-446f-9a40-cd459e44b906,T06B1261C1635762143942_1_2,11/1/2021,5:19:31,29.476492,-98.403763,78218,10.92,18,86211.52,ACCELERATION_CHANGE,HARD_BRAKE,1635743971
7c7dc742-5226-4f32-aaa9-6702919f0f32,T06B02F1B1635764145915_1_0,11/1/2021,5:49:24,29.390865,-98.483101,78210,23.41,99,119857.56,ACCELERATION_CHANGE,HARD_BRAKE,1635745764
10849997-ff9e-4480-b581-d0afc21e321d,T06B02F1B1635764145915_1_0,11/1/2021,5:49:38,29.390533,-98.481491,78210,30.09,102,119857.72,ACCELERATION_CHANGE,HARD_BRAKE,1635745778
adfd389c-b856-4e07-a32e-2c7f2fddcd96,T06AFC05F1635767509648_1_2,11/1/2021,5:53:31,29.561098,-98.679909,78023,24.92,295,84889.33,ACCELERATION_CHANGE,HARD_BRAKE,1635746011
66c72b20-a6af-4ec3-8898-bab8f95da3f0,T06ACE7131635764613106_1_0,11/1/2021,5:59:53,29.474587,-98.654503,78251,29.86,304,116570.09,ACCELERATION_CHANGE,HARD_BRAKE,1635746393
90e6e85c-8277-4a3e-8ca6-1cbbc146fff9,T06AB523C1635764166170_1_0,11/1/2021,5:22:21,29.320925,-98.503891,78221,18.83,180,273987.08,ACCELERATION_CHANGE,HARD_BRAKE,1635744141
4d83f2dc-d977-4b7d-8db2-42c9bd9eb5c6,T06A817911635762903991_1_2,11/1/2021,5:29:16,29.345171,-98.457245,78223,28.59,337,137671.11,ACCELERATION_CHANGE,HARD_BRAKE,1635744556
1ae99147-6d45-40db-90cb-10d7b04114a8,T06A817911635762903991_1_2,11/1/2021,5:31:31,29.341417,-98.44017,78235,18.94,136,137673.03,ACCELERATION_CHANGE,HARD_BRAKE,1635744691
2571b583-6b59-40c0-9b82-403001b37f04,T06A7A0581635764655936_1_0,11/1/2021,5:39:22,29.319481,-98.50367,78221,18.05,352,151087.98,ACCELERATION_CHANGE,HARD_BRAKE,1635745162
59ef9439-fb79-4b40-80d1-2cc09d1c7c63,T06A6CDD41635765533769_1_0,11/1/2021,5:59:21,29.445021,-98.460693,78234,11.91,177,74790.75,ACCELERATION_CHANGE,HARD_BRAKE,1635746361
1056d380-3e36-4fe6-b657-89e1f55e6fef,T06A66C851635764083753_1_2,11/1/2021,5:44:06,29.429916,-98.389366,78219,34.44,180,116557.41,ACCELERATION_CHANGE,HARD_BRAKE,1635745446
7f713e32-ae63-4cc6-a281-35754ade1891,T06A61EAE1635763132610_1_2,11/1/2021,5:36:57,29.608667,-98.602257,78257,33.45,341,82745.33,ACCELERATION_CHANGE,HARD_BRAKE,1635745017
a25b981f-b06c-460b-bec6-55e36621e453,T06A61EAE1635763132610_1_2,11/1/2021,5:37:11,29.609205,-98.601234,78257,7.66,65,82745.47,ACCELERATION_CHANGE,HARD_BRAKE,1635745031
0c957dac-1d23-4288-9be8-d0321aa54c84,T0633EE1A1635765865641_1_2,11/1/2021,5:51:01,29.538778,-98.584877,78240,23.61,221,106118.3,ACCELERATION_CHANGE,HARD_BRAKE,1635745861
182a41ee-588c-49b7-9c9e-c508892389d4,T0633EE1A1635763627841_1_80,11/1/2021,5:29:14,29.632752,-98.498741,78258,41.7,272,106096.48,ACCELERATION_CHANGE,HARD_BRAKE,1635744554
b52a1403-e146-4351-8bea-22f194c41ce1,T0633EE1A1635763627841_1_80,11/1/2021,5:29:49,29.634184,-98.503227,78258,22.03,329,106096.97,ACCELERATION_CHANGE,HARD_BRAKE,1635744589
56561bbd-ef75-4fd2-a3fc-f027065d558f,T0633EE1A1635763627841_1_80,11/1/2021,5:30:07,29.635269,-98.50457,78258,11.28,308,106097.16,ACCELERATION_CHANGE,HARD_BRAKE,1635744607
b6d9eb01-9e2a-455b-9f47-d5d1490673dd,T0633EE1A1635763627841_1_80,11/1/2021,5:30:23,29.63637,-98.505165,78258,30.31,345,106097.3,ACCELERATION_CHANGE,HARD_BRAKE,1635744623
b2813adc-09a5-4d9e-8851-c89aba37554b,T0633EE1A1635763627841_1_80,11/1/2021,5:44:25,29.544695,-98.579643,78240,41.03,126,106117.33,ACCELERATION_CHANGE,HARD_BRAKE,1635745465
d9237b67-4725-418d-b285-1103c6f44948,T0631807A1635761056067_1_0,11/1/2021,5:00:44,29.4746,-98.345703,78244,52.86,172,69548.14,ACCELERATION_CHANGE,HARD_BRAKE,1635742844
312f4d72-2274-4f0a-91c5-66f88e096c7a,T0631807A1635761056067_1_0,11/1/2021,5:01:47,29.468187,-98.351357,78244,25.88,211,69549.09,ACCELERATION_CHANGE,HARD_BRAKE,1635742907
b2d632a7-a5f4-429b-8d7a-f471542145d2,T062EAB931635766625196_1_0,11/1/2021,5:59:29,29.484789,-98.403511,78218,55.13,190,260134.88,ACCELERATION_CHANGE,HARD_BRAKE,1635746369
07769f21-79e9-49f1-b4e8-aafb66d98930,T062AE64B1635762724607_1_4,11/1/2021,5:28:52,29.463257,-98.359467,78244,9.69,180,242531.56,ACCELERATION_CHANGE,HARD_BRAKE,1635744532
94ca8cc3-9704-4cd2-a08e-213f3cc3ed0b,T0628615A1635760942276_1_2,11/1/2021,5:01:13,29.482405,-98.599976,78238,34.2,69,178205.14,ACCELERATION_CHANGE,HARD_BRAKE,1635742873
f9d713b2-9345-46af-9808-5d63495ca3a7,T062203671635763386936_1_0,11/1/2021,5:36:55,29.609596,-98.468239,78259,50.55,284,328860.53,ACCELERATION_CHANGE,HARD_BRAKE,1635745015
5b64964b-1def-4a62-b033-2a5d740c0e68,T061CFD771635764344434_1_2,11/1/2021,5:36:43,29.421646,-98.777985,78253,19.39,180,51219.94,ACCELERATION_CHANGE,HARD_BRAKE,1635745003
eb5c7095-5740-4d5a-a604-7680566b0ab2,T06194ED21635766064317_1_2,11/1/2021,5:59:04,29.387541,-98.523041,78225,37.02,217,108110.53,ACCELERATION_CHANGE,HARD_BRAKE,1635746344
edd2f9ba-f122-4326-a190-4e036bedda6d,T060563BC1635764357182_1_6,11/1/2021,5:50:47,29.592745,-98.580986,78249,128.23,83,99190.03,ACCELERATION_CHANGE,HARD_BRAKE,1635745847
c35d8354-5602-4d8f-ba03-71b315c2013b-4-1,9f5c9bb495402b98156005a291fa80531e995f1e,11/1/2021,5:11:15,29.361122,-98.633386,78227,28.8,158.4,56036,ACCELERATION_CHANGE,HARD_BRAKE,1635743475
c35d8354-5602-4d8f-ba03-71b315c2013b-5-1,9f5c9bb495402b98156005a291fa80531e995f1e,11/1/2021,5:11:16,29.361058,-98.633361,78227,18.24,161.7,56036,ACCELERATION_CHANGE,HARD_BRAKE,1635743476
cf752bea-2326-473e-82b0-4b3d42b4a0fa-14-1,9f5c9bb495402b98156005a291fa80531e995f1e,11/1/2021,5:13:25,29.357273,-98.622446,78242,13.76,99.8,56037,ACCELERATION_CHANGE,HARD_BRAKE,1635743605
da1329e3-6a83-4fe0-922d-624464e6a594-16-1,98f614d22371a834bd4cfe22578cdc4f0119e7fd,11/1/2021,5:38:13,29.646145,-98.435441,78259,30.08,150.3,17165,ACCELERATION_CHANGE,HARD_BRAKE,1635745093
1c5c773b-d2ae-4755-a62d-7548e3d7f64b-36-2,98828023ede6c2c51a4bcfb2e1aa7edff2cf876a,11/1/2021,5:08:50,29.708178,-98.517806,78260,59.2,322.5,19674,ACCELERATION_CHANGE,HARD_BRAKE,1635743330
